trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.008, 'e': 0.7203630197053014}",25,0,-139.25655068816818,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 3}",0
43,False,"{'a': 0.008, 'e': 0.7146231058160573}",30,0,-140.5212736545534,"{0: 24, 1: 2, 2: 0, 3: 0, 4: 4}",0
44,False,"{'a': 0.008, 'e': 0.7089289280495107}",20,5,-84.53561614123535,"{0: 9, 1: 0, 2: 4, 3: 1, 4: 1}",1
45,False,"{'a': 0.008, 'e': 0.7032801219763409}",25,0,-101.67045049633026,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
46,False,"{'a': 0.008, 'e': 0.697676326071031}",25,0,-92.35849479998484,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
47,False,"{'a': 0.008, 'e': 0.6921171816887304}",30,0,-101.70163145559802,"{0: 18, 1: 6, 2: 5, 3: 0, 4: 1}",0
48,False,"{'a': 0.008, 'e': 0.686602333042301}",20,0,-48.801088222007444,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
49,False,"{'a': 0.008, 'e': 0.6811314271795471}",35,0,-83.18951815779369,"{0: 26, 1: 1, 2: 7, 3: 0, 4: 1}",0
50,False,"{'a': 0.008, 'e': 0.675704113960626}",20,0,-60.450804330194245,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
51,False,"{'a': 0.008, 'e': 0.6703200460356393}",25,0,-66.51658721356793,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
52,False,"{'a': 0.008, 'e': 0.6649788788224019}",25,0,-76.34634429507918,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
53,False,"{'a': 0.008, 'e': 0.659680270484389}",20,0,-14.954143700755745,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
54,False,"{'a': 0.008, 'e': 0.6544238819088586}",20,0,-55.422835316153154,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
55,False,"{'a': 0.008, 'e': 0.6492093766851474}",20,0,-68.54427599252833,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",1
56,False,"{'a': 0.008, 'e': 0.6440364210831414}",20,5,-70.79957661715247,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 2}",1
57,False,"{'a': 0.008, 'e': 0.6389046840319162}",25,0,-73.00100060947643,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
58,False,"{'a': 0.008, 'e': 0.633813837098549}",25,13,-57.19005602151212,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 1}",1
59,False,"{'a': 0.008, 'e': 0.6287635544670984}",30,0,-16.77295056637727,"{0: 24, 1: 2, 2: 4, 3: 0, 4: 0}",0
60,False,"{'a': 0.008, 'e': 0.623753512917752}",20,6,-6.098503292355145,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
61,False,"{'a': 0.008, 'e': 0.6187833918061408}",20,15,9.460268474700563,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.008, 'e': 0.6138528730428171}",25,0,-84.8863773740088,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
63,False,"{'a': 0.008, 'e': 0.6089616410728969}",35,24,16.53102371038822,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.008, 'e': 0.6041093828558647}",20,0,-39.35918854074514,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
65,False,"{'a': 0.008, 'e': 0.5992957878455384}",30,0,-144.2893384937366,"{0: 17, 1: 4, 2: 7, 3: 0, 4: 2}",0
66,False,"{'a': 0.008, 'e': 0.5945205479701944}",30,5,-33.77888781499697,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",1
67,False,"{'a': 0.008, 'e': 0.5897833576128504}",25,15,-2.0943748143557106,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
68,False,"{'a': 0.008, 'e': 0.5850839135917069}",20,14,9.760401889534503,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.008, 'e': 0.5804219151407424}",20,8,7.577840703896646,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
70,False,"{'a': 0.008, 'e': 0.5757970638904645}",20,0,-87.60727464144111,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
71,False,"{'a': 0.008, 'e': 0.5712090638488149}",25,3,-81.99296812787371,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 1}",1
72,False,"{'a': 0.008, 'e': 0.5666576213822246}",20,0,-101.44948210047892,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
73,False,"{'a': 0.008, 'e': 0.5621424451968224}",25,9,-50.73186741049286,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 0}",1
74,False,"{'a': 0.008, 'e': 0.5576632463197913}",25,14,15.469885415370264,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.008, 'e': 0.5532197380808739}",30,0,-185.64898219956177,"{0: 20, 1: 1, 2: 5, 3: 0, 4: 4}",0
76,False,"{'a': 0.008, 'e': 0.5488116360940265}",20,12,-38.91075620110923,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
77,False,"{'a': 0.008, 'e': 0.5444386582392171}",20,1,-10.137251734717866,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 0}",1
78,False,"{'a': 0.008, 'e': 0.5401005246443706}",20,0,-106.43382768178449,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
79,False,"{'a': 0.008, 'e': 0.535796957667456}",25,5,-26.176504737361448,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",1
80,False,"{'a': 0.008, 'e': 0.5315276818787179}",25,0,-33.43780684559124,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
81,False,"{'a': 0.008, 'e': 0.5272924240430485}",20,0,1.06863898966024,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
82,False,"{'a': 0.008, 'e': 0.5230909131025008}",20,0,-22.32596493078893,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
83,False,"{'a': 0.008, 'e': 0.5189228801589404}",25,3,-45.43689173655475,"{0: 16, 1: 4, 2: 1, 3: 0, 4: 1}",1
84,False,"{'a': 0.008, 'e': 0.5147880584568362}",25,4,-22.94732857003596,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 0}",1
85,False,"{'a': 0.008, 'e': 0.5106861833661879}",25,11,2.370498574517975,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.008, 'e': 0.5066169923655895}",25,6,-18.559366517113375,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
87,False,"{'a': 0.008, 'e': 0.5025802250254283}",30,4,23.744591546464605,"{0: 24, 1: 2, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.008, 'e': 0.4985756229912165}",25,0,-125.33839324759083,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 3}",0
89,False,"{'a': 0.008, 'e': 0.494602929967057}",25,11,-0.07326420466560046,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.008, 'e': 0.4906618916992401}",25,13,9.533287598316022,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
91,False,"{'a': 0.008, 'e': 0.4867522559599717}",20,0,-14.124872448428059,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
92,False,"{'a': 0.008, 'e': 0.48287377253122976}",20,2,-1.1932377396626963,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.008, 'e': 0.4790261931887511}",25,0,-53.195845631596164,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
94,False,"{'a': 0.008, 'e': 0.47520927168614446}",25,2,2.0465580328281323,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 0}",1
95,False,"{'a': 0.008, 'e': 0.4714227637391309}",20,0,-8.841462476290712,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
96,False,"{'a': 0.008, 'e': 0.46766642700990924}",20,0,-28.893454307643566,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
97,False,"{'a': 0.008, 'e': 0.4639400210916467}",20,0,-8.871699062437614,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
98,False,"{'a': 0.008, 'e': 0.46024330749309256}",20,9,-89.93810184752374,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 2}",1
99,False,"{'a': 0.008, 'e': 0.4565760496233147}",20,10,5.426581304942053,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.008, 'e': 0.4529380127765577}",20,0,22.586153947483258,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.008, 'e': 0.44932896411722156}",25,0,-37.11502002569081,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
102,False,"{'a': 0.008, 'e': 0.4457486726649602}",30,0,-61.911631027692074,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 2}",0
103,False,"{'a': 0.008, 'e': 0.44219690927989863}",20,13,-0.8857751421541524,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
104,False,"{'a': 0.008, 'e': 0.4386734466479678}",30,13,-44.9802601287177,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
105,False,"{'a': 0.008, 'e': 0.43517805926635666}",20,0,3.6156011456794603,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
